51,77
4,2
60,13
53,42
83,12
69,95
26,24
54,57
74,61
27,11
19,95
0,15
71,11
23,37
6,75
63,68
9,15
65,21
34,72
35,9
56,81
27,69
32,36
86,46
94,98
16,59
72,25
63,4
16,11
14,27
37,91
35,47
86,35
54,48
0,33
27,96
31,83
9,88
61,92
55,23
45,48
96,76
9,67
41,57
7,37
86,97
65,74
43,42
92,87
83,91
31,24
22,91
60,40
93,67
95,34
49,46
25,80
72,46
40,35
46,94
77,77
51,38
19,76
44,85
25,32
49,53
71,82
18,70
79,40
67,9
74,94
3,37
4,66
49,90
69,72
22,85
62,77
16,46
4,7
48,61
