78,91
61,41
25,65
36,89
30,80
2,20
68,55
23,51
5,28
94,12
55,53
18,57
3,79
99,27
39,32
52,97
20,73
15,25
50,25
11,93
47,19
74,37
68,65
98,99
3,46
75,58
3,72
84,52
98,1
78,13
62,15
82,40
38,0
66,77
58,91
18,4
35,39
91,36
26,17
46,73
78,32
49,5
92,55
58,28
75,6
42,97
71,48
5,14
36,76
69,93
8,65
93,48
87,57
68,25
51,66
61,58
57,39
87,68
5,5
82,85
94,3
56,44
6,97
54,32
67,30
87,35
92,76
84,92
62,96
93,99
75,47
33,34
59,74
2,34
50,43
10,74
44,92
79,87
32,94
65,51
38,42
24,97
12,12
67,16
35,25
43,55
80,72
11,80
85,63
87,1
44,25
93,8
28,35
23,36
60,51
45,39
70,39
0,88
24,26
66,95
